column,dtype,missing_frac,missing_count,n_unique
ehail_fee,object,1.0,35644,1
store_and_fwd_flag,object,0.3125911794411402,11142,3
RatecodeID,float64,0.3125911794411402,11142,7
passenger_count,float64,0.3125911794411402,11142,10
payment_type,float64,0.3125911794411402,11142,5
trip_type,float64,0.3125911794411402,11142,3
congestion_surcharge,float64,0.3125911794411402,11142,4
VendorID,int64,0.0,0,3
lpep_pickup_datetime,datetime64[us],0.0,0,33004
lpep_dropoff_datetime,datetime64[us],0.0,0,33015
PULocationID,int64,0.0,0,235
DOLocationID,int64,0.0,0,249
trip_distance,float64,0.0,0,2569
fare_amount,float64,0.0,0,4047
extra,float64,0.0,0,37
mta_tax,float64,0.0,0,3
tip_amount,float64,0.0,0,870
tolls_amount,float64,0.0,0,23
improvement_surcharge,float64,0.0,0,3
total_amount,float64,0.0,0,4946
hour,int32,0.0,0,24
day_of_week,int32,0.0,0,7
month,int32,0.0,0,4
log_trip_distance,float64,0.0,0,2560
