column,expected_dtype,actual_dtype,family_ok,exact_match
ehail_fee,object,object,True,True
RatecodeID,float64,float64,True,True
store_and_fwd_flag,object,object,True,True
trip_type,float64,float64,True,True
payment_type,float64,float64,True,True
passenger_count,float64,float64,True,True
congestion_surcharge,float64,float64,True,True
DOLocationID,int64,int64,True,True
PULocationID,int64,int64,True,True
lpep_pickup_datetime,datetime64[us],datetime64[us],True,True
lpep_dropoff_datetime,datetime64[us],datetime64[us],True,True
VendorID,int64,int64,True,True
extra,float64,float64,True,True
fare_amount,float64,float64,True,True
trip_distance,float64,float64,True,True
tolls_amount,float64,float64,True,True
tip_amount,float64,float64,True,True
mta_tax,float64,float64,True,True
total_amount,float64,float64,True,True
improvement_surcharge,float64,float64,True,True
